5	1.5
5	2
5	2.5
5	3
5	3.5
5	4
5	4.5
5	5
5	5.5
5	6
5	6.5
5	7
5	7.5
5	8
5	8.5
5	9
5	9.5
5	10
5	10.5
5	11
5	11.5
5	12
5	12.5
5	13
5	13.5
5	14
5	14.5
5	15
5	15.5
5	16
5	16.5
5	17
5	17.5
5	18
5	18.5
5	19
5	19.5
5	20
5	20.5
10	1.5
10	2
10	2.5
10	3
10	3.5
10	4
10	4.5
10	5
10	5.5
10	6
10	6.5
10	7
10	7.5
10	8
10	8.5
10	9
10	9.5
10	10
10	10.5
10	11
10	11.5
10	12
10	12.5
10	13
10	13.5
10	14
10	14.5
10	15
10	15.5
10	16
10	16.5
10	17
10	17.5
10	18
10	18.5
10	19
10	19.5
10	20
10	20.5
15	2
15	2.5
15	3
15	3.5
15	4
15	4.5
15	5
15	5.5
15	6
15	6.5
15	7
15	7.5
15	8
15	8.5
15	9
15	9.5
15	10
15	10.5
15	11
15	11.5
15	12
15	12.5
15	13
15	13.5
15	14
15	14.5
15	15
15	15.5
15	16
15	16.5
15	17
15	17.5
15	18
15	18.5
15	19
15	19.5
15	20
15	20.5
20	2
20	2.5
20	3
20	3.5
20	4
20	4.5
20	5
20	5.5
20	6
20	6.5
20	7
20	7.5
20	8
20	8.5
20	9
20	9.5
20	10
20	10.5
20	11
20	11.5
20	12
20	12.5
20	13
20	13.5
20	14
20	14.5
20	15
20	15.5
20	16
20	16.5
20	17
20	17.5
20	18
20	18.5
20	19
20	19.5
20	20
20	20.5
25	2.5
25	3
25	3.5
25	4
25	4.5
25	5
25	5.5
25	6
25	6.5
25	7
25	7.5
25	8
25	8.5
25	9
25	9.5
25	10
25	10.5
25	11
25	11.5
25	12
25	12.5
25	13
25	13.5
25	14
25	14.5
25	15
25	15.5
25	16
25	16.5
25	17
25	17.5
25	18
25	18.5
25	19
25	19.5
25	20
25	20.5
30	3
30	3.5
30	4
30	4.5
30	5
30	5.5
30	6
30	6.5
30	7
30	7.5
30	8
30	8.5
30	9
30	9.5
30	10
30	10.5
30	11
30	11.5
30	12
