30	12.5
30	13
30	13.5
30	14
30	14.5
30	15
30	15.5
30	16
30	16.5
30	17
30	17.5
30	18
30	18.5
30	19
30	19.5
30	20
30	20.5
35	3.5
35	4
35	4.5
35	5
35	5.5
35	6
35	6.5
35	7
35	7.5
35	8
35	8.5
35	9
35	9.5
35	10
35	10.5
35	11
35	11.5
35	12
35	12.5
35	13
35	13.5
35	14
35	14.5
35	15
35	15.5
35	16
35	16.5
35	17
35	17.5
35	18
35	18.5
35	19
35	19.5
35	20
35	20.5
40	4.5
40	5
40	5.5
40	6
40	6.5
40	7
40	7.5
40	8
40	8.5
40	9
40	9.5
40	10
40	10.5
40	11
40	11.5
40	12
40	12.5
40	13
40	13.5
40	14
40	14.5
40	15
40	15.5
40	16
40	16.5
40	17
40	17.5
40	18
40	18.5
40	19
40	19.5
40	20
40	20.5
45	14.5
45	15
45	15.5
45	16
45	16.5
